timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787852700,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787853000,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787853300,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787853600,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787853900,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787854200,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787854500,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787854800,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787855100,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787855400,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787855700,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787856000,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787856300,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787856600,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787856900,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787857200,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787857500,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787857800,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787858100,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787858400,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787858700,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787859000,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787859300,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787859600,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787859900,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787860200,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787860500,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787860800,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787861100,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787861400,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787861700,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787862000,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787862300,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787862600,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787862900,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787863200,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787863500,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787863800,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787864100,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787864400,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787864700,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787865000,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787865300,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787865600,glm-4.7-flash:q4_K_M,ollama,chat,suse-ai,0.0001555
1787660100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787660400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787660700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787661000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787661300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787661600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787661900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787662200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787662500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787662800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787663100,meu-assistente,ollama,chat,suse-ai,0.0001326
